FL_DATE,origin_state,dest_state,count
1/1/18 00:00,AK,CA,1
1/1/18 00:00,AK,CO,1
1/1/18 00:00,AZ,CA,4
1/1/18 00:00,AZ,CO,2
1/1/18 00:00,AZ,DC,1
1/1/18 00:00,AZ,IL,3
1/1/18 00:00,AZ,TX,4
1/1/18 00:00,CA,AZ,3
1/1/18 00:00,CA,CA,36
1/1/18 00:00,CA,CO,18
1/1/18 00:00,CA,DC,16
1/1/18 00:00,CA,FL,7
1/1/18 00:00,CA,GA,2
1/1/18 00:00,CA,HI,12
1/1/18 00:00,CA,IL,20
1/1/18 00:00,CA,IN,1
1/1/18 00:00,CA,LA,1
1/1/18 00:00,CA,MA,4
1/1/18 00:00,CA,MD,1
1/1/18 00:00,CA,MI,1
1/1/18 00:00,CA,NJ,14
1/1/18 00:00,CA,NV,9
1/1/18 00:00,CA,OH,1
1/1/18 00:00,CA,OR,6
1/1/18 00:00,CA,PA,2
1/1/18 00:00,CA,TX,14
1/1/18 00:00,CA,WA,7
1/1/18 00:00,CO,AK,1
1/1/18 00:00,CO,AZ,4
1/1/18 00:00,CO,CA,24
1/1/18 00:00,CO,DC,5
1/1/18 00:00,CO,FL,7
1/1/18 00:00,CO,HI,2
1/1/18 00:00,CO,ID,2
1/1/18 00:00,CO,IL,9
1/1/18 00:00,CO,MA,4
1/1/18 00:00,CO,MD,1
1/1/18 00:00,CO,MI,2
1/1/18 00:00,CO,MN,3
1/1/18 00:00,CO,MT,4
1/1/18 00:00,CO,NC,1
1/1/18 00:00,CO,NE,1
1/1/18 00:00,CO,NJ,8
1/1/18 00:00,CO,NM,1
1/1/18 00:00,CO,NV,3
1/1/18 00:00,CO,NY,4
1/1/18 00:00,CO,OH,1
1/1/18 00:00,CO,OR,3
1/1/18 00:00,CO,PA,3
1/1/18 00:00,CO,TX,11
1/1/18 00:00,CO,UT,1
1/1/18 00:00,CO,WA,6
1/1/18 00:00,CO,WI,1
1/1/18 00:00,CO,WY,1
1/1/18 00:00,CT,IL,1
1/1/18 00:00,DC,AZ,1
1/1/18 00:00,DC,CA,18
1/1/18 00:00,DC,CO,6
1/1/18 00:00,DC,CT,1
1/1/18 00:00,DC,FL,6
1/1/18 00:00,DC,HI,1
1/1/18 00:00,DC,IL,6
1/1/18 00:00,DC,LA,1
1/1/18 00:00,DC,MA,3
1/1/18 00:00,DC,NJ,1
1/1/18 00:00,DC,OR,1
1/1/18 00:00,DC,TX,7
1/1/18 00:00,DC,VA,1
1/1/18 00:00,DC,WA,2
1/1/18 00:00,FL,CA,5
1/1/18 00:00,FL,CO,10
1/1/18 00:00,FL,DC,8
1/1/18 00:00,FL,IL,7
1/1/18 00:00,FL,NJ,16
1/1/18 00:00,FL,TX,9
1/1/18 00:00,GA,CA,1
1/1/18 00:00,GA,DC,2
1/1/18 00:00,GA,IL,1
1/1/18 00:00,GA,NJ,6
1/1/18 00:00,GA,TX,1
1/1/18 00:00,HI,CA,13
1/1/18 00:00,HI,CO,2
1/1/18 00:00,HI,DC,1
1/1/18 00:00,HI,IL,2
1/1/18 00:00,HI,NJ,1
1/1/18 00:00,HI,TX,1
1/1/18 00:00,IA,CO,1
1/1/18 00:00,ID,CO,1
1/1/18 00:00,IL,AZ,4
1/1/18 00:00,IL,CA,24
1/1/18 00:00,IL,CO,9
1/1/18 00:00,IL,CT,1
1/1/18 00:00,IL,DC,8
1/1/18 00:00,IL,FL,13
1/1/18 00:00,IL,GA,1
1/1/18 00:00,IL,HI,2
1/1/18 00:00,IL,IN,1
1/1/18 00:00,IL,LA,1
1/1/18 00:00,IL,MA,4
1/1/18 00:00,IL,MD,3
1/1/18 00:00,IL,MN,1
1/1/18 00:00,IL,MT,1
1/1/18 00:00,IL,NJ,2
1/1/18 00:00,IL,NV,2
1/1/18 00:00,IL,NY,5
1/1/18 00:00,IL,OH,4
1/1/18 00:00,IL,OR,3
1/1/18 00:00,IL,PA,5
1/1/18 00:00,IL,TN,1
1/1/18 00:00,IL,TX,10
1/1/18 00:00,IL,UT,2
1/1/18 00:00,IL,VA,1
1/1/18 00:00,IL,WA,2
1/1/18 00:00,IL,WY,1
1/1/18 00:00,IN,CA,1
1/1/18 00:00,LA,CA,1
1/1/18 00:00,LA,TX,6
1/1/18 00:00,MA,CA,6
1/1/18 00:00,MA,CO,4
1/1/18 00:00,MA,DC,2
1/1/18 00:00,MA,IL,4
1/1/18 00:00,MA,NJ,3
1/1/18 00:00,MA,TX,1
1/1/18 00:00,MD,CA,2
1/1/18 00:00,MD,CO,2
1/1/18 00:00,MD,IL,2
1/1/18 00:00,MI,CA,1
1/1/18 00:00,MI,CO,2
1/1/18 00:00,MI,IL,1
1/1/18 00:00,MI,NJ,1
1/1/18 00:00,MO,IL,1
1/1/18 00:00,MO,NJ,1
1/1/18 00:00,MT,CO,2
1/1/18 00:00,NC,CO,2
1/1/18 00:00,NC,DC,1
1/1/18 00:00,NC,IL,3
1/1/18 00:00,NC,NJ,3
1/1/18 00:00,NC,TX,1
1/1/18 00:00,NJ,AZ,2
1/1/18 00:00,NJ,CA,13
1/1/18 00:00,NJ,CO,3
1/1/18 00:00,NJ,FL,18
1/1/18 00:00,NJ,GA,2
1/1/18 00:00,NJ,HI,1
1/1/18 00:00,NJ,IL,2
1/1/18 00:00,NJ,LA,1
1/1/18 00:00,NJ,MA,3
1/1/18 00:00,NJ,NC,3
1/1/18 00:00,NJ,NV,1
1/1/18 00:00,NJ,SC,1
1/1/18 00:00,NJ,TN,1
1/1/18 00:00,NJ,TX,7
1/1/18 00:00,NJ,UT,1
1/1/18 00:00,NJ,WA,1
1/1/18 00:00,NM,CO,2
1/1/18 00:00,NV,CA,9
1/1/18 00:00,NV,CO,4
1/1/18 00:00,NV,DC,1
1/1/18 00:00,NV,IL,3
1/1/18 00:00,NV,NJ,2
1/1/18 00:00,NV,TX,3
1/1/18 00:00,NY,CO,6
1/1/18 00:00,NY,IL,7
1/1/18 00:00,NY,TX,3
1/1/18 00:00,OH,CA,3
1/1/18 00:00,OH,CO,1
1/1/18 00:00,OH,IL,3
1/1/18 00:00,OH,TX,2
1/1/18 00:00,OR,CA,6
1/1/18 00:00,OR,CO,4
1/1/18 00:00,OR,DC,1
1/1/18 00:00,OR,IL,3
1/1/18 00:00,OR,TX,1
1/1/18 00:00,PA,CA,2
1/1/18 00:00,PA,CO,2
1/1/18 00:00,PA,IL,5
1/1/18 00:00,PA,TX,1
1/1/18 00:00,SC,NJ,1
1/1/18 00:00,TN,CO,1
1/1/18 00:00,TN,NJ,1
1/1/18 00:00,TX,AZ,2
1/1/18 00:00,TX,CA,13
1/1/18 00:00,TX,CO,10
1/1/18 00:00,TX,DC,7
1/1/18 00:00,TX,FL,6
1/1/18 00:00,TX,GA,3
1/1/18 00:00,TX,HI,1
1/1/18 00:00,TX,IL,7
1/1/18 00:00,TX,LA,3
1/1/18 00:00,TX,MA,1
1/1/18 00:00,TX,MN,1
1/1/18 00:00,TX,NJ,7
1/1/18 00:00,TX,NM,1
1/1/18 00:00,TX,NV,1
1/1/18 00:00,TX,TX,14
1/1/18 00:00,TX,VA,1
1/1/18 00:00,TX,WA,4
1/1/18 00:00,UT,CO,1
1/1/18 00:00,UT,IL,2
1/1/18 00:00,UT,TX,1
1/1/18 00:00,VA,IL,1
1/1/18 00:00,VA,TX,1
1/1/18 00:00,WA,CA,10
1/1/18 00:00,WA,CO,5
1/1/18 00:00,WA,DC,3
1/1/18 00:00,WA,IL,4
1/1/18 00:00,WA,TX,2
1/1/18 00:00,WY,CO,1
1/1/18 00:00,WY,TX,1
1/22/18 00:00,AZ,CO,1
1/22/18 00:00,AZ,NJ,1
1/22/18 00:00,AZ,TX,1
1/22/18 00:00,CA,AZ,1
1/22/18 00:00,CA,CA,12
